epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3108,1.4187,2.8203,1.11156,0.00224,0.98058,0.36667,0.16461,1.21895,3.7073,1.07893,0.000650407,0.000650407,0.000650407
2,36.4599,1.38803,1.98347,1.1725,1,0.13184,0.83463,0.49564,1.30954,3.18365,1.19966,0.00127361,0.00127361,0.00127361
3,49.3498,1.35371,1.64708,1.19994,0.83096,0.85437,0.92267,0.52126,1.39061,2.09323,1.30229,0.00185281,0.00185281,0.00185281
4,63.8866,1.28096,1.36244,1.15036,0.9236,0.94175,0.97259,0.5735,1.3507,1.23304,1.29433,0.001802,0.001802,0.001802
5,78.7692,1.2423,1.18919,1.14904,0.91478,0.97087,0.95856,0.54531,1.38348,1.17255,1.33101,0.001736,0.001736,0.001736
6,91.2338,1.26652,1.03495,1.1223,0.95467,0.95146,0.96851,0.59383,1.34314,0.84366,1.27242,0.00167,0.00167,0.00167
7,104.216,1.24874,0.96313,1.13052,0.93298,0.96117,0.9707,0.57568,1.40176,0.86336,1.28393,0.001604,0.001604,0.001604
8,118.908,1.18019,0.86168,1.1066,0.93874,0.93204,0.97216,0.57575,1.41962,0.7708,1.27246,0.001538,0.001538,0.001538
9,133.478,1.16516,0.82527,1.08806,0.91785,0.93204,0.96316,0.58155,1.36202,0.79108,1.28304,0.001472,0.001472,0.001472
10,146.046,1.14668,0.75332,1.10378,0.93303,0.94679,0.96066,0.56864,1.3569,0.73568,1.29637,0.001406,0.001406,0.001406
11,159.286,1.10766,0.71616,1.07499,0.94915,0.92233,0.96379,0.60261,1.28309,0.69164,1.22507,0.00134,0.00134,0.00134
12,173.689,1.0934,0.69406,1.06725,0.95222,0.96753,0.97029,0.59748,1.31267,0.6764,1.25623,0.001274,0.001274,0.001274
13,187.82,1.08635,0.65845,1.08133,0.95299,0.96117,0.97571,0.58326,1.3715,0.66355,1.25631,0.001208,0.001208,0.001208
14,200.581,1.09496,0.64187,1.04782,0.94339,0.96117,0.97898,0.60941,1.3125,0.66705,1.20234,0.001142,0.001142,0.001142
15,216.396,1.06785,0.6448,1.04749,0.96479,0.97087,0.98059,0.62095,1.26729,0.62952,1.22553,0.001076,0.001076,0.001076
16,229.975,1.02311,0.59542,1.02917,0.97022,0.94901,0.97145,0.60361,1.289,0.60401,1.20979,0.00101,0.00101,0.00101
17,244.261,0.99897,0.5973,1.01457,0.94686,0.95146,0.97055,0.61026,1.32766,0.64023,1.22146,0.000944,0.000944,0.000944
18,259.227,0.98526,0.57397,1.02582,0.95218,0.97087,0.97474,0.59817,1.30389,0.64877,1.25695,0.000878,0.000878,0.000878
19,271.227,0.96924,0.55846,1.03163,0.9614,0.95146,0.97596,0.6059,1.31727,0.62461,1.25873,0.000812,0.000812,0.000812
20,285.026,0.92859,0.53635,0.9905,0.95186,0.95994,0.97601,0.60526,1.32052,0.62512,1.27891,0.000746,0.000746,0.000746
21,300.345,1.161,0.6991,1.14426,0.95872,0.95146,0.98356,0.59119,1.31951,0.66072,1.27803,0.00068,0.00068,0.00068
22,314.108,1.16081,0.69015,1.1354,0.93245,0.93808,0.9663,0.59529,1.29222,0.68347,1.23902,0.000614,0.000614,0.000614
23,326.963,1.11402,0.63981,1.10855,0.96737,0.96117,0.97107,0.60641,1.27323,0.60741,1.2096,0.000548,0.000548,0.000548
24,338.863,1.07691,0.65109,1.06629,0.96564,0.96117,0.97525,0.6161,1.287,0.60164,1.21304,0.000482,0.000482,0.000482
25,353.522,1.11782,0.68668,1.08783,0.968,0.95146,0.96843,0.6341,1.23758,0.60465,1.19194,0.000416,0.000416,0.000416
26,367.699,1.02905,0.59262,1.06508,0.95016,0.98058,0.98503,0.65744,1.22567,0.57503,1.20132,0.00035,0.00035,0.00035
27,379.227,1.03172,0.60604,1.06734,0.95035,0.98058,0.98434,0.64669,1.22509,0.56049,1.18664,0.000284,0.000284,0.000284
28,392.165,1.02216,0.56923,1.07651,0.96117,0.98058,0.97919,0.64741,1.20409,0.54767,1.19085,0.000218,0.000218,0.000218
29,406.07,0.99265,0.60287,1.01878,0.95982,0.97087,0.97849,0.64024,1.24932,0.56378,1.19714,0.000152,0.000152,0.000152
30,419.833,1.03732,0.54908,1.06884,0.9506,0.98058,0.97868,0.64099,1.21127,0.54516,1.18627,8.6e-05,8.6e-05,8.6e-05
